Time_HR,HR,Mean_RR,STD_RR,Mean_HR,STD_HR,Min_HR,Max_HR,RMSSD,NNxx,pNNxx,Power_VLF,Power_LF,Power_HF,Power_Total,LF_by_HF,Peak_VLF,Peak_LF,Peak_HF,Fraction_LF,Fraction_HF
60.0,72.0,1005.6338028169014,26.822700284377156,59.66386554621849,16.01671233186497,32.25806451612903,111.11111111111111,38.61901826080735,44,6.19718309859155,1,1,1,3,1.0,0.03125,0.046875,0.21875,50.0,50.0
75.0,79.0,912.3076923076923,25.570878406601665,65.7672849915683,18.61400814569455,37.03703703703704,111.11111111111111,31.50510162769561,67,8.58974358974359,1,1,1,3,1.0,0.015625,0.109375,0.234375,50.0,50.0
90.0,72.0,1000.5633802816901,31.729440420638742,59.96621621621622,19.854615987732807,32.25806451612903,111.11111111111111,45.025706942970764,48,6.76056338028169,1,1,1,3,1.0,0.015625,0.046875,0.265625,50.0,50.0
105.0,85.0,845.7142857142857,27.536246983915284,70.94594594594595,19.60421992532846,34.48275862068966,111.11111111111111,34.0623100193663,78,9.285714285714286,1,1,1,3,1.0,0.03125,0.09375,0.203125,50.0,50.0
120.0,73.0,986.6666666666666,31.335106332816054,60.810810810810814,20.18907788614806,32.25806451612903,111.11111111111111,41.6788526781074,52,7.222222222222223,1,1,1,3,1.0,0.03125,0.0625,0.296875,50.0,50.0
135.0,87.0,815.5813953488372,26.869886598960466,73.56715141146279,20.001943010367135,34.48275862068966,111.11111111111111,37.362453628963806,76,8.837209302325581,1,1,1,3,1.0,0.03125,0.140625,0.3125,50.0,50.0
150.0,71.0,1015.7142857142857,29.730009575978194,59.07172995780591,18.308179309984755,32.25806451612903,111.11111111111111,42.297085931076495,51,7.2857142857142865,1,1,1,3,1.0,0.015625,0.09375,0.328125,50.0,50.0
165.0,83.0,873.6585365853658,26.422233890862866,68.67671691792295,19.695736552389942,40.0,100.0,34.973005462944,70,8.536585365853657,1,1,1,3,1.0,0.015625,0.09375,0.265625,50.0,50.0
180.0,68.0,1053.134328358209,32.900668665900994,56.972789115646265,18.51615600850177,32.25806451612903,111.11111111111111,48.850421045919724,49,7.313432835820896,1,1,1,3,1.0,0.015625,0.0625,0.28125,50.0,50.0
195.0,84.0,856.6265060240963,25.187143932576618,70.042194092827,18.98717026972667,37.03703703703704,111.11111111111111,30.58694125946163,71,8.55421686746988,1,1,1,3,1.0,0.03125,0.078125,0.234375,50.0,50.0
210.0,76.0,939.2,28.724790686791785,63.88415672913117,21.136904829925093,32.25806451612903,111.11111111111111,38.74029957048359,49,6.533333333333333,1,1,1,3,1.0,0.03125,0.0625,0.1875,50.0,50.0
225.0,91.0,789.3333333333334,22.872011037267555,76.01351351351352,18.44204074257825,37.03703703703704,111.11111111111111,27.78084377586247,77,8.555555555555555,1,1,1,3,1.0,0.015625,0.09375,0.171875,50.0,50.0
240.0,78.0,916.3636363636364,26.048361162353228,65.47619047619048,20.686802428681712,32.25806451612903,111.11111111111111,35.16801776734382,48,6.233766233766234,1,1,1,3,1.0,0.015625,0.078125,0.296875,50.0,50.0
255.0,90.0,798.876404494382,23.773008111243307,75.10548523206751,19.537498813587746,43.47826086956522,111.11111111111111,29.45643933305277,72,8.089887640449438,1,1,1,3,1.0,0.015625,0.0625,0.1875,50.0,50.0
270.0,77.0,934.7368421052631,27.448264102053276,64.1891891891892,20.31603420796782,32.25806451612903,111.11111111111111,39.751226396175504,46,6.052631578947368,1,1,1,3,1.0,0.03125,0.140625,0.265625,50.0,50.0
285.0,84.0,852.289156626506,33.925263465946,70.39864291772689,22.475228388155188,31.25,111.11111111111111,43.93121008476997,67,8.072289156626507,1,1,1,3,1.0,0.03125,0.046875,0.15625,50.0,50.0
