description,nose.x,nose.y,chest
pixel values of 1st position,332,279,320,93
centimeter values of 1st position,15,2,7
pixel values of 2nd position,238,184,222,48
centimeter values of 2nd position,40,10,15
difference of both positions in pixels,-94,-95,-143
difference of both positions in centimeters,25,8,8
pixel to centimeter conversion,-0.26595744680851063,-0.08421052631578947,-0.055944055944055944
pixel to pulses conversion,-851.063829787234,-269.4736842105263,-179.020979020979
scaling both real-time and homing position,335.98936170212767,279.1684210526316,413.3916083916084
maximum distance to move the rail,-157.92000000000002,-89.0625,-268.125
