file,type,dependency,line
/home/prayojaka/Desktop/meditation_gui_updated/test2_time.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/test2_time.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/test2_time.py,Python,io,import io
/home/prayojaka/Desktop/meditation_gui_updated/test2_time.py,Python,paths,from paths import project_path
/home/prayojaka/Desktop/meditation_gui_updated/Radar_Animation.py,Python,pandas,import pandas as pd
/home/prayojaka/Desktop/meditation_gui_updated/Radar_Animation.py,Python,pandas,from pandas import read_csv;
/home/prayojaka/Desktop/meditation_gui_updated/Radar_Animation.py,Python,matplotlib,import matplotlib.pyplot as plt;
/home/prayojaka/Desktop/meditation_gui_updated/Radar_Animation.py,Python,matplotlib,from matplotlib.animation import FuncAnimation
/home/prayojaka/Desktop/meditation_gui_updated/Radar_Animation.py,Python,numpy,import numpy as np;
/home/prayojaka/Desktop/meditation_gui_updated/morphing.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/morphing.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/morphing.py,Python,moviepy,from moviepy import *
/home/prayojaka/Desktop/meditation_gui_updated/morphing.py,Python,paths,from paths import project_path
/home/prayojaka/Desktop/meditation_gui_updated/check_visual.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/check_visual.py,Python,tkinter,from tkinter import *
/home/prayojaka/Desktop/meditation_gui_updated/check_visual.py,Python,Pillow,"from PIL import Image, ImageTk"
/home/prayojaka/Desktop/meditation_gui_updated/Radar_Analysis.py,Python,pandas,import pandas as pd
/home/prayojaka/Desktop/meditation_gui_updated/Radar_Analysis.py,Python,pandas,from pandas import read_csv;
/home/prayojaka/Desktop/meditation_gui_updated/Radar_Analysis.py,Python,matplotlib,import matplotlib.pyplot as plt;
/home/prayojaka/Desktop/meditation_gui_updated/Radar_Analysis.py,Python,scipy,from scipy import stats;
/home/prayojaka/Desktop/meditation_gui_updated/Radar_Analysis.py,Python,scipy,from scipy.optimize import curve_fit
/home/prayojaka/Desktop/meditation_gui_updated/Radar_Analysis.py,Python,numpy,import numpy as np;
/home/prayojaka/Desktop/meditation_gui_updated/Radar_Analysis.py,Python,scipy,from scipy import signal
/home/prayojaka/Desktop/meditation_gui_updated/Radar_Analysis.py,Python,scipy,from scipy.interpolate import interp1d
/home/prayojaka/Desktop/meditation_gui_updated/Radar_Analysis.py,Python,scipy,from scipy.fftpack import fft
/home/prayojaka/Desktop/meditation_gui_updated/Radar_Analysis.py,Python,scipy,from scipy.signal import find_peaks
/home/prayojaka/Desktop/meditation_gui_updated/Radar_Analysis.py,Python,scipy,from scipy.signal import savgol_filter
/home/prayojaka/Desktop/meditation_gui_updated/Radar_Analysis.py,Python,scikit-learn,from sklearn.decomposition import NMF
/home/prayojaka/Desktop/meditation_gui_updated/Radar_Analysis.py,Python,statistics,import statistics
/home/prayojaka/Desktop/meditation_gui_updated/Radar_Analysis.py,Python,pywt,import pywt
/home/prayojaka/Desktop/meditation_gui_updated/Radar_Analysis.py,Python,pdb,import pdb
/home/prayojaka/Desktop/meditation_gui_updated/Radar_Analysis.py,Python,numpy,from numpy.lib.stride_tricks import as_strided
/home/prayojaka/Desktop/meditation_gui_updated/Radar_Analysis.py,Python,pywt,import pywt
/home/prayojaka/Desktop/meditation_gui_updated/Radar_Analysis.py,Python,pdb,import pdb
/home/prayojaka/Desktop/meditation_gui_updated/Radar_Analysis.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/visual_test5.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/visual_test5.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/visual_test5.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/testcam.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/depth_side.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/depth_side.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/depth_side.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/depth_side.py,Python,pyrealsense2,import pyrealsense2 as rs
/home/prayojaka/Desktop/meditation_gui_updated/check_similarity.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/check_similarity.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/check_similarity.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/check_similarity3.py,Python,opencv-python,import cv2
