Time_BR,BR,Mean_RR_B,STD_RR_B,Mean_HR_B,STD_HR_B,Min_HR_B,Max_HR_B,RMSSD_B,NNxx_B,pNNxx_B,Power_VLF_B,Power_LF_B,Power_HF_B,Power_Total_B,LF_by_HF_B,Peak_VLF_B,Peak_LF_B,Peak_HF_B,Fraction_LF_B,Fraction_HF_B
60.0,15.0,4971.428571428572,1376.988728778734,12.068965517241379,3.4860900280329754,8.130081300813009,18.51851851851852,1994.7006715872858,13,92.85714285714286,1,1,1,3,1.0,0.03125,0.09375,0.1875,50.0,50.0
75.0,16.0,4392.0,1026.7307339317354,13.66120218579235,3.1678909124984402,9.70873786407767,20.408163265306122,1462.8543526759106,13,86.66666666666667,1,1,1,3,1.0,0.0,0.078125,0.171875,50.0,50.0
90.0,19.0,3970.0,807.5270893288967,15.113350125944585,2.7492071547286026,10.0,20.0,1232.3864939978184,17,94.44444444444444,1,1,1,3,1.0,0.015625,0.078125,0.15625,50.0,50.0
105.0,18.0,4065.8823529411766,979.7662315634841,14.756944444444445,3.080010565954632,9.523809523809524,20.408163265306122,1512.696268257445,16,94.11764705882354,1,1,1,3,1.0,0.0,0.09375,0.15625,50.0,50.0
120.0,16.0,4492.0,1360.0941143906182,13.357079252003562,3.83149975710747,7.874015748031496,20.833333333333332,2274.1277762819623,13,86.66666666666667,1,1,1,3,1.0,0.03125,0.078125,0.15625,50.0,50.0
135.0,17.0,4470.0,1210.826164236634,13.422818791946309,3.5776344310342334,8.547008547008547,20.833333333333332,1626.2103185012693,15,93.75,1,1,1,3,1.0,0.015625,0.046875,0.1875,50.0,50.0
150.0,17.0,4455.0,761.1668673819164,13.468013468013469,2.189546847304428,10.1010101010101,17.857142857142858,1135.147567499486,15,93.75,1,1,1,3,1.0,0.015625,0.0625,0.15625,50.0,50.0
165.0,18.0,4207.058823529412,840.4744087917907,14.261744966442953,2.855574298997498,10.1010101010101,20.0,1076.557011959887,16,94.11764705882354,1,1,1,3,1.0,0.03125,0.078125,0.171875,50.0,50.0
180.0,17.0,4357.5,975.5479229643206,13.769363166953529,2.7000422104614006,8.474576271186441,18.181818181818183,1400.4570682459353,14,87.5,1,1,1,3,1.0,0.015625,0.0625,0.171875,50.0,50.0
195.0,18.0,4221.176470588235,1270.9509286261916,14.214046822742475,3.3990288814282428,7.194244604316546,20.833333333333332,1963.4535899786376,16,94.11764705882354,1,1,1,3,1.0,0.03125,0.0625,0.15625,50.0,50.0
210.0,18.0,4083.529411764706,900.6986907328605,14.693171996542784,3.138879981767436,9.900990099009901,20.833333333333332,1488.1028190283089,15,88.23529411764706,1,1,1,3,1.0,0.015625,0.0625,0.15625,50.0,50.0
225.0,18.0,4217.64705882353,1046.4929072116497,14.225941422594142,3.293308141309449,9.25925925925926,20.408163265306122,1596.7780058605517,16,94.11764705882354,1,1,1,3,1.0,0.03125,0.078125,0.15625,50.0,50.0
240.0,16.0,4412.0,1180.0067796415408,13.599274705349048,3.286916275922378,8.771929824561404,19.607843137254903,1763.340984770509,14,93.33333333333333,1,1,1,3,1.0,0.03125,0.046875,0.15625,50.0,50.0
255.0,16.0,4780.0,1362.8793050009967,12.552301255230125,3.8278322223219257,8.333333333333334,20.0,2080.563110588779,14,93.33333333333333,1,1,1,3,1.0,0.03125,0.046875,0.15625,50.0,50.0
270.0,16.0,4504.0,1219.7311179108287,13.321492007104796,3.4157126768820687,8.620689655172415,18.867924528301888,1812.102173089113,14,93.33333333333333,1,1,1,3,1.0,0.03125,0.078125,0.171875,50.0,50.0
285.0,15.0,4804.285714285715,1445.6077035811138,12.488849241748438,4.105413905169016,8.333333333333334,20.833333333333332,1411.5457975076608,13,92.85714285714286,1,1,1,3,1.0,0.03125,0.046875,0.171875,50.0,50.0
